S,delta,batch_size,freq_warmup,sin_warmup,epoch,dsName,currepoch,loss
20,0.05,180,10,10,5,smtp,3,0.035562888
20,0.05,180,10,10,5,smtp,4,0.04094697
20,0.05,180,10,10,5,smtp,5,0.03593784
20,0.05,180,10,10,5,smtp,6,0.03378393
20,0.05,180,10,10,5,smtp,7,0.03698401
20,0.05,180,10,10,5,smtp,8,0.03739229
20,0.05,180,10,10,5,smtp,9,0.035934955
20,0.05,180,10,10,10,smtp,0,0.089116044
20,0.05,180,10,10,10,smtp,1,0.04623177
20,0.05,180,10,10,10,smtp,2,0.040930666
20,0.05,180,10,10,10,smtp,3,0.03822464
20,0.05,180,10,10,10,smtp,4,0.032395672
20,0.05,180,10,10,10,smtp,5,0.027029779
20,0.05,180,10,10,10,smtp,6,0.023379005
20,0.05,180,10,10,10,smtp,7,0.019376494
20,0.05,180,10,10,10,smtp,8,0.01563362
20,0.05,180,10,10,10,smtp,9,0.012058106
20,0.05,180,10,10,15,smtp,0,0.101799026
20,0.05,180,10,10,15,smtp,1,0.047587007
20,0.05,180,10,10,15,smtp,2,0.044564832
20,0.05,180,10,10,15,smtp,3,0.044250797
20,0.05,180,10,10,15,smtp,4,0.04337928
20,0.05,180,10,10,15,smtp,5,0.04201328
20,0.05,180,10,10,15,smtp,6,0.040371988
20,0.05,180,10,10,15,smtp,7,0.032315534
20,0.05,180,10,10,15,smtp,8,0.023188217
20,0.05,180,10,10,15,smtp,9,0.02149079
20,0.04,180,10,10,5,smtp,0,0.16368026
20,0.04,180,10,10,5,smtp,1,0.09795969
20,0.04,180,10,10,5,smtp,2,0.043765355
20,0.04,180,10,10,5,smtp,3,0.033143956
20,0.04,180,10,10,5,smtp,4,0.025438981
20,0.04,180,10,10,5,smtp,5,0.023983758
20,0.04,180,10,10,5,smtp,6,0.0200993
20,0.04,180,10,10,5,smtp,7,0.013646425
20,0.04,180,10,10,5,smtp,8,0.011744877
20,0.04,180,10,10,5,smtp,9,0.011325243
20,0.04,180,10,10,10,smtp,0,0.27869928
20,0.04,180,10,10,10,smtp,1,0.15608679
20,0.04,180,10,10,10,smtp,2,0.083765805
20,0.04,180,10,10,10,smtp,3,0.053515937
20,0.04,180,10,10,10,smtp,4,0.038305573
20,0.04,180,10,10,10,smtp,5,0.02811179
20,0.04,180,10,10,10,smtp,6,0.019014739
20,0.04,180,10,10,10,smtp,7,0.01342476
20,0.04,180,10,10,10,smtp,8,0.01029846
20,0.04,180,10,10,10,smtp,9,0.010304595
20,0.04,180,10,10,15,smtp,0,0.13647649
20,0.04,180,10,10,15,smtp,1,0.066546135
20,0.04,180,10,10,15,smtp,2,0.05564369
20,0.04,180,10,10,15,smtp,3,0.048258215
20,0.04,180,10,10,15,smtp,4,0.043089412
20,0.04,180,10,10,15,smtp,5,0.03942333
20,0.04,180,10,10,15,smtp,6,0.04061912
20,0.04,180,10,10,15,smtp,7,0.030930465
20,0.04,180,10,10,15,smtp,8,0.026826115
20,0.04,180,10,10,15,smtp,9,0.024158908
20,0.03,180,10,10,5,smtp,0,0.23487338
20,0.03,180,10,10,5,smtp,1,0.13790022
20,0.03,180,10,10,5,smtp,2,0.08334375
20,0.03,180,10,10,5,smtp,3,0.053430095
20,0.03,180,10,10,5,smtp,4,0.044372942
20,0.03,180,10,10,5,smtp,5,0.045479655
20,0.03,180,10,10,5,smtp,6,0.043633424
20,0.03,180,10,10,5,smtp,7,0.04313259
20,0.03,180,10,10,5,smtp,8,0.04362452
20,0.03,180,10,10,5,smtp,9,0.044325557
20,0.03,180,10,10,10,smtp,0,0.17332818
20,0.03,180,10,10,10,smtp,1,0.095468804
